,Task,Model,FSS,Top-1,Top-10,Top-20,Top-50,Top-100,Top-200,Top-400,Top-600
0,B->C,PDS,885,4.71,15.61,21.26,30.39,39.99,52.89,68.73,79.33
1,B->C,PDS,885,1.71,10.78,16.20,25.68,36.51,51.30,65.25,77.21
2,B->C,PDS,885,3.30,13.72,19.32,28.50,38.34,50.53,66.02,78.98
